Id,Designator,Package,Quantity,Designation,Supplier and ref
1,U2,TQFP44,1,ATMEGA32U4,http://eleparts.co.kr/EPXBVLJA
2,"U4,U3",SO14E,2,LM2902N,
3,Y1,HC-49V,1,16MHz,http://eleparts.co.kr/EPXFK6RT
4,DB9,DB9MC,1,DB9,http://eleparts.co.kr/EPX348B6
5,SW1,MINIBUTVERT,1,SW1,http://eleparts.co.kr/EPXGHL7P
6,U5,SOT23,1,TLV431,http://eleparts.co.kr/EPXFUWTU
7,J3,PJ211A,1,PJ211A,http://eleparts.co.kr/EPX33TCT
8,USB1,USB_B,1,USB_B,
9,L1,SM0603,1,100nH,
10,J2,PIN_ARRAY_6X1,1,AVR-ISP-6,
11,D1,LED-3MM,2,LED (green),
12,D2,LED-3MM,2,LED (red),
13,"R15,R26,R42,R16,R17,R31,R20,R23",SM0603,8,10,
14,"R21,R13,R45,R18,R27,R28,R43,R6,R12,R10,R9,R8,R24,R7,R32,R33",SM0603,16,75K,
15,"R14,R25,R35,R37,R41,R46,R36,R22,R38,R29,R39,R44,R19,R11,R34,R40",SM0603,16,300K,
16,"R3,R4",SM0603,2,22,
17,"R5,R2",SM0603,2,470,
18,R30,SM0603,1,1K,
19,R1,SM0603,1,10K,
20,"C22,C20,C16,C26,C24,C14,C28,C30",SM0603,8,20pF,
21,"C7,C5",SM0603,2,18pF,
22,"C12,C6,C10,C9,C13,C17,C21,C19,C18,C25,C23,C27,C29",SM0603,13,100nF,104
23,"C3,C8",SM0603,1,1uF,105
24,C15,SM0603,1,10uF,
